frame_id,class_id,instance_id,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7
0,0,1,462.6,841.2,0.9667969,489.00003,844.2,0.99316406,543,886.80005,0.9975586,516.30005,906.60004,0.9980469,477.00003,861.60004,0.99365234,511.50003,876.00006,0.99853516,540.30005,916.2,0.94873047,541.5,925.80005,0.9921875
0,0,2,900.00006,642.60004,0.9555664,918.00006,660,0.99560547,961.80005,699,0.99853516,939.60004,721.80005,0.99853516,900.00006,669,0.99560547,930.60004,691.2,0.9995117,968.4,723.60004,0.9760742,977.4,727.80005,0.99609375
0,0,3,975.60004,552.60004,0.98535156,965.4,579.30005,0.9892578,945.60004,628.80005,0.99365234,914.4,624,0.9946289,948.60004,564.9,0.99658203,937.80005,601.2,0.9980469,933.60004,645,0.87841797,940.2,652.80005,0.97216797
0,0,4,1263.6001,990.00006,0.9609375,1276.8,1009.2,0.9975586,1296,1047,0.99853516,1258.8,1065,0.99902344,1252.8,1011.60004,0.99902344,1270.8,1039.8,1,1292.4,1075.2001,0.9863281,1303.2001,1082.4,0.9951172
0,0,5,714,493.50003,0.95996094,722.4,468.90002,0.99902344,757.80005,438.90002,0.9995117,780.00006,475.80002,0.99902344,736.2,489.00003,0.9980469,755.4,463.50003,1,791.4,443.1,0.9916992,801.00006,434.7,0.9970703
1,0,1,464.40002,843.00006,0.96777344,490.80002,844.2,0.99365234,543,885.60004,0.9975586,515.10004,906.00006,0.99902344,478.80002,862.2,0.99609375,512.4,876.00006,0.99902344,540.60004,915.60004,0.96484375,543,925.2,0.9941406
1,0,2,898.80005,642,0.9975586,917.4,658.80005,0.9995117,961.80005,700.2,0.9980469,943.2,724.2,0.9926758,899.4,667.80005,0.9995117,931.2,691.80005,0.9995117,972.60004,721.80005,0.9482422,982.80005,721.80005,0.98046875
1,0,3,975.60004,549.9,0.9873047,966.00006,576.9,0.9892578,945.00006,632.4,0.99609375,914.4,627,0.99658203,948.60004,563.10004,0.99658203,938.4,601.80005,0.99853516,931.80005,648.60004,0.9326172,938.4,657,0.984375
1,0,4,1262.4,984.60004,0.93310547,1276.8,1003.2,0.99609375,1293.6001,1044.6001,0.99853516,1258.8,1060.2001,0.99853516,1252.8,1006.2,0.9975586,1270.8,1035,0.9995117,1291.2001,1072.2001,0.9658203,1299.6001,1079.4,0.9926758
1,0,5,714,493.2,0.9609375,723,468.90002,0.99902344,758.4,438.6,0.9995117,779.4,475.2,0.99902344,736.2,488.7,0.9980469,755.4,462.90002,1,791.4,443.1,0.9921875,801.60004,435.00003,0.9970703
2,0,1,463.50003,847.2,0.97802734,490.50003,847.2,0.9951172,545.7,886.2,0.9980469,516.60004,905.4,0.99902344,480.6,866.4,0.99609375,514.80005,877.2,0.99902344,539.4,917.4,0.97314453,539.10004,928.80005,0.99560547
2,0,2,897.60004,642,0.94189453,915.00006,658.80005,0.99316406,960.60004,699.60004,0.9975586,940.2,722.4,0.9980469,897.60004,668.4,0.9941406,929.4,691.2,0.99902344,969.60004,721.2,0.96777344,979.80005,721.80005,0.9951172
2,0,3,973.80005,548.10004,0.98535156,967.2,575.10004,0.9941406,948.00006,633,0.9980469,918.00006,623.4,0.9975586,949.2,563.7,0.99609375,942.00006,601.2,0.9995117,928.2,648,0.9604492,927.60004,657,0.99072266
2,0,4,1260,978.00006,0.90966797,1274.4,996.60004,0.9926758,1292.4,1041,0.9995117,1257.6001,1056.6001,0.9995117,1251.6001,1000.2,0.9941406,1269.6001,1029,1,1288.8,1068,0.9951172,1298.4,1075.8,0.99853516
2,0,5,715.2,492.00003,0.9472656,723.60004,468.30002,0.99902344,757.80005,438.6,0.9995117,779.4,475.2,0.99853516,736.80005,488.1,0.9975586,755.4,462.6,1,790.80005,442.80002,0.99072266,801.00006,434.7,0.99658203
3,0,1,462.00003,847.2,0.97998047,488.7,848.4,0.99609375,547.5,889.2,0.99853516,519.30005,908.4,0.9980469,478.50003,867.60004,0.9946289,514.80005,879.00006,0.99902344,540.30005,919.2,0.95751953,537.9,930.60004,0.99365234
3,0,2,897.00006,643.2,0.9511719,915.00006,658.80005,0.99316406,956.4,699.60004,0.9975586,935.4,719.4,0.9980469,898.2,668.4,0.9941406,927.00006,690,0.99902344,962.4,721.2,0.9711914,970.2,724.80005,0.99560547
3,0,3,975.00006,550.80005,0.97753906,967.2,578.10004,0.99316406,952.80005,625.80005,0.9975586,920.4,619.80005,0.99658203,949.2,565.2,0.99609375,942.60004,600,0.99902344,937.2,643.2,0.9345703,940.2,652.80005,0.98583984
3,0,4,1256.4,970.80005,0.9814453,1272,991.80005,0.99853516,1291.2001,1036.2001,0.9995117,1255.2001,1051.2001,0.9995117,1249.2001,996.00006,0.9995117,1267.2001,1024.2001,1,1286.4,1064.4,0.9941406,1296,1072.8,0.9975586
3,0,5,715.80005,491.1,0.9301758,723.60004,468.30002,0.99853516,758.4,438.30002,0.9995117,779.4,474.90002,0.99853516,737.4,488.40002,0.9970703,756,462.6,1,791.4,442.80002,0.9902344,801.60004,435.00003,0.99658203
4,0,1,462.6,845.4,0.9794922,489.6,848.4,0.99658203,548.7,890.4,0.99853516,521.7,910.80005,0.9980469,477.90002,867.00006,0.9941406,514.80005,880.2,0.99902344,543.9,921.00006,0.95410156,543,931.80005,0.99365234
4,0,2,898.80005,642,0.95654297,917.4,658.80005,0.9951172,959.4,698.4,0.9980469,937.2,720.60004,0.99853516,899.4,668.4,0.99560547,929.4,690,0.99902344,965.4,722.4,0.9711914,973.80005,726.60004,0.9951172
4,0,3,977.4,549,0.98535156,969.00006,576,0.9902344,951.60004,627,0.99609375,920.4,622.80005,0.99658203,951.60004,562.80005,0.99609375,943.2,599.7,0.99853516,939.00006,644.4,0.9316406,945.00006,652.80005,0.9848633
4,0,4,1254,964.80005,0.99316406,1270.8,986.4,0.99902344,1288.8,1028.4,0.9995117,1252.8,1041,0.9995117,1248,991.2,0.9995117,1266,1016.4,1,1281.6001,1056.6001,0.9941406,1288.8,1066.8,0.9980469
